date,open,close,high,low,volume,code
2014-01-02,6.755,6.817,6.856,6.716,489910.0,1
2014-01-03,6.772,6.649,6.778,6.566,551114.0,1
2014-01-06,6.627,6.505,6.688,6.41,582118.0,1
2014-01-07,6.426,6.482,6.555,6.415,338407.0,1
2014-01-08,6.488,6.555,6.661,6.426,457768.0,1
2014-01-09,6.516,6.588,6.683,6.493,485518.0,1
2014-01-10,6.566,6.588,6.661,6.499,381197.0,1
2014-01-13,6.577,6.466,6.638,6.404,478875.0,1
2014-01-14,6.449,6.532,6.566,6.382,362427.0,1
2014-01-15,6.521,6.505,6.544,6.443,297988.0,1
2014-01-16,6.499,6.516,6.577,6.454,299593.0,1
2014-01-17,6.477,6.399,6.488,6.382,423513.0,1
2014-01-20,6.399,6.298,6.399,6.27,307219.0,1
2014-01-21,6.309,6.332,6.443,6.309,265794.0,1
2014-01-22,6.332,6.571,6.61,6.326,619084.0,1
2014-01-23,6.56,6.521,6.571,6.493,375535.0,1
2014-01-24,6.488,6.499,6.583,6.449,485283.0,1
2014-01-27,6.443,6.348,6.482,6.326,442997.0,1
2014-01-28,6.382,6.41,6.46,6.337,389683.0,1
2014-01-29,6.432,6.443,6.488,6.41,312104.0,1
2014-01-30,6.438,6.354,6.438,6.343,291413.0,1
2014-02-07,6.309,6.343,6.343,6.187,418757.0,1
2014-02-10,6.343,6.449,6.46,6.326,581226.0,1
2014-02-11,6.426,6.688,6.872,6.371,1310465.0,1
2014-02-12,6.616,6.655,6.8,6.605,694621.0,1
2014-02-13,6.594,6.811,6.967,6.577,1218192.0,1
2014-02-14,6.75,6.733,6.794,6.666,582339.0,1
2014-02-17,6.744,6.672,6.783,6.616,608921.0,1
2014-02-18,6.638,6.499,6.649,6.477,596061.0,1
2014-02-19,6.471,6.688,6.761,6.471,988174.0,1
2014-02-20,6.649,6.555,6.828,6.549,766324.0,1
2014-02-21,6.588,6.466,6.599,6.454,479996.0,1
2014-02-24,6.382,6.22,6.399,6.209,667820.0,1
2014-02-25,6.226,6.142,6.326,6.131,548387.0,1
2014-02-26,6.148,6.192,6.254,6.131,407937.0,1
2014-02-27,6.215,6.265,6.326,6.137,555086.0,1
2014-02-28,6.226,6.204,6.265,6.064,446237.0,1
2014-03-03,6.142,6.153,6.176,6.092,427431.0,1
2014-03-04,6.126,6.12,6.142,6.02,527585.0,1
2014-03-05,6.07,5.964,6.12,5.925,533016.0,1
2014-03-06,5.969,6.003,6.047,5.858,527382.0,1
2014-03-07,5.992,6.02,6.098,5.975,488654.0,1
2014-03-10,5.964,5.747,5.975,5.713,544320.0,1
2014-03-11,5.747,5.707,5.791,5.629,450789.0,1
2014-03-12,5.724,5.769,5.841,5.674,515107.0,1
2014-03-13,5.841,5.886,6.014,5.78,626625.0,1
2014-03-14,5.813,5.752,5.869,5.724,450392.0,1
2014-03-17,5.802,5.836,5.852,5.763,372979.0,1
2014-03-18,5.836,5.786,5.858,5.758,431814.0,1
2014-03-19,5.769,5.707,5.769,5.657,363028.0,1
2014-03-20,5.696,5.629,5.735,5.602,454881.0,1
2014-03-21,5.613,6.014,6.098,5.59,1251811.0,1
2014-03-24,6.003,6.014,6.092,5.925,842538.0,1
2014-03-25,6.003,5.908,6.025,5.886,415754.0,1
2014-03-26,5.942,5.964,5.992,5.875,360206.0,1
2014-03-27,5.93,6.003,6.148,5.864,803133.0,1
2014-03-28,5.964,6.008,6.109,5.947,532649.0,1
2014-03-31,6.047,6.003,6.098,5.947,321130.0,1
2014-04-01,5.975,6.02,6.07,5.964,281242.0,1
2014-04-02,6.014,6.081,6.137,5.981,460397.0,1
2014-04-03,6.109,6.003,6.142,5.997,453650.0,1
2014-04-04,5.964,6.014,6.031,5.903,342090.0,1
2014-04-08,6.008,6.287,6.404,6.008,1342920.0,1
2014-04-09,6.282,6.237,6.326,6.22,557346.0,1
2014-04-10,6.248,6.332,6.466,6.22,770068.0,1
2014-04-11,6.321,6.354,6.41,6.27,593255.0,1
2014-04-14,6.326,6.287,6.382,6.237,421741.0,1
2014-04-15,6.248,6.114,6.259,6.081,534688.0,1
2014-04-16,6.092,6.126,6.204,6.053,376646.0,1
2014-04-17,6.142,6.075,6.176,6.036,304885.0,1
2014-04-18,6.047,6.02,6.064,5.975,323544.0,1
2014-04-21,5.992,5.958,6.075,5.947,298156.0,1
2014-04-22,5.969,6.165,6.231,5.953,523281.0,1
2014-04-23,6.176,6.287,6.382,6.176,1169892.0,1
2014-04-24,6.365,6.259,6.382,6.198,634004.0,1
2014-04-25,6.259,6.27,6.421,6.192,714335.0,1
2014-04-28,6.27,6.148,6.287,6.109,526045.0,1
2014-04-29,6.142,6.22,6.27,6.086,413621.0,1
2014-04-30,6.231,6.209,6.254,6.181,259596.0,1
2014-05-05,6.187,6.126,6.192,6.036,403270.0,1
2014-05-06,6.086,6.103,6.181,6.075,267770.0,1
2014-05-07,6.081,6.047,6.103,6.047,241910.0,1
2014-05-08,6.036,6.092,6.215,6.025,379620.0,1
